Aba,ILMAZ
Durgun,AVTAN
Durguner,AYARTEPE
Durgunsu,AYCIK
Durkız,AYDINAK
Durmus,AZAPCI
Dursun,AZGINBOCU
Dursune,AZGIT
Dursen,BADILI
Duru,BAGARDI
Durugul,BAGMEN
Duruiz,BAHCELIOGLU
Duruk,BAKIRBAS
Durul,BALEK
Duruoz,BARDAKOGLU
Durusel,BARISCI
Durusoy,BASCEYHAN
Durusu,BASDURAK
Durutekin,BAYICI
Duruturk,BAYKALA
Dusize,BAZIKI
Duygu,BEKIZ
Duygun,BEKRI
Duyu,BELDE
Dulge,BERCINLI
Dulger,BETBASI
Duri,BILGEBEY
Duriye,BOGUSLU
Durnev,BOLATTURK
Durri,BORALI
Dusun,BORUC
Dusunsel,BOZBALAK
Duzel,BOZSEKI
Duzey,BUDINLI
Duzgun,BULBULKAYA
Ede,BULDURUC
Edgu,BULGUOGLU
Edguer,BURLU
Edhem,BUTUROGLU
Edip,BUYUKADALI
Edis,BUYUKALP
Ediz,BUYUKBAKI
Efendi,BUYUKBODUR
Efgende,BUYUKKARDESLER
Ehed,BUYUKMUMCU
Ejder,CALICA
Eldem,CALKUS
Eldemir,CAMIRTASI
Elidemir,CAMLIKAYA
Elverdi,CANKOR
Ender,CAPKUNOGLU
Erdem,CARSI
Erdemer,CATALKILIC
Erdemir,CAVTEKIN
Erdemli,CELIKBAY
Erden,CENAL
Erdener,CERLEK
Erdeniz,CICEKCAYIR
Erdesir,CICITEKIN
Erdi,CILACI
Erdil,CINDARIK
Erdilek,CITLER
Erdin,COKELEKOGLU
Erdiner,COKUN
Erdog,COSMUS
Erdogdu,CUKU
Erdogmus,D.
Erdol,DAKKAK
Erdolek,DARAS
Erdonmez,DARICAN
Erdur,DARIYEMEZ
Erdurdu,DASCIOGLU
Erdurmus,DEMIRSAPLI
Erdursun,DERINCAY
Erduru,DIDINC
Erendemir,DIKSOY
Erendiz,DINKUL
Erguden,DISIKITLI
Erguder,DOGMAN
Eryıldız,DURUYOL
Esendemir,DUTAN
Evdegul,DUYGAL
Ferdi,DUZCAY
Ferdiye,EKINCIER
Ferhunde,ENGURLU
Feride,EPIKMAN
Feridun,ERBEGI
Fermude,ERLEBLEBICI
Ferzend,ERYETKIN
Fide,ESKIBAS
Firdevs,EVLICOGLU
Firdevsi,EVRIN
Furuzende,FARAC
Gedik,FENKLI
Gediz,GAFUROGLU
Gokdemir,GAYLAN
Gokdeniz,GERDEN
Gondem,GERMIS
Gonder,GIRMENC
Gonulden,GOCAN
Gonuldes,GOCBEN
Gozde,GOFER
Gudek,GOKCEKAYA
Guder,GOKGUZ
Guldeger,GOKKUL
Guldehen,GOKTER
Guldem,GOLKAYA
Guldemet,GONDEM
Gulden,GOVEBAKAN
Guldeniz,GOZEKCI
Guldenur,GOZTURK
Gulder,GUCDEN
Gulderen,GUCLER
Guldermis,GULAS
Guldeste,GULBAGLAR
Guldilek,GULGUR
Guldone,GULHATUN
Gulduren,GUNDUZBAY
Gulender,GUNKURUSU
Gulfide,GURCETIN
Gundemir,GURDEMIR
Gunden,GURGIC
Gundeniz,GURSONMEZ
Gunder,GURYEL
Gundes,GUVENCOGLU
Gundogdu,GUZDAGOGLU
Gundogmus,HACIHAFIZOGLU
Gundondu,HAKKO
Gunduz,HALILBEYOGLU
Gungordu,HALLUMOGLU
Guzide,HANIFEOGLU
Hediye,HANYALI
Hemdem,HAPAKAZ
Hıdır,HASANEFENDIOGLU
Hurside,HIRAOZLU
Idık,IMANOGLU
Idıkut,IMIRHAN
Ildır,INCEBIYIK
Ildız,IRIKARA
Idi,ISEM
Idikurt,ISIKTEKINER
Idikut,ISTANKOYLU
Idil,KACMEN
Idris,KALGI
Igdemir,KANLIER
Ildem,KANON
Ildemer,KAPUT
Ildemir,KARAATMACA
Ilden,KARADEVE
Ildeniz,KARADURU
Ildes,KARAGUC
Iskender,KARAMADEN
Isguden,KAREN
Isguder,KARLIBAS
Julide,KASIKEMAN
Kızıldemir,KASTANBOLU
Kuddus,KATIYUREK
Kuddusi,KATRE
Kudret,KAVAKLIK
Kudsiye,KAVUSTUK
Ledun,KAYACELIK
Medeni,KAYALAN
Medet,KAYCE
Medide,KAYRAKLIK
Medih,KERCI
Medine,KEYGI
Medit,KILICALAN
Mehdi,KIRECDAG
Mehdiye,KIRINTI
Melodi,KIRLENMEZ
Memduh,KIRPAT
Menderes,KIZGI
Merdi,KOCYIGITOGLU
Mesude,KOKTAN
Mevdut,KOLENOGLU
Mevlide,KORGANCI
Mevlude,KORULUK
Mevlude,KOSACA
Mezide,KOSTERIT
Muktedir,KOYUNLAR
Muslihiddin,KOZBEK
Muderris,KUCUKBIRER
Mudrik,KUCUKNAZLI
Mudrike,KUCUKSABANOGLU
Mueddep,KUCUKSEMERCI
Mufide,KURAS
Mujde,KURTOZ
Muldur,KURUTEPE
Muride,KUTRU
Murside,KUTUKER
Muveddet,KUYTURKA
Nedim,MANAVLI
Nedime,MARSAP
Nedret,MATER
Neside,MATUGAN
Nevide,MAVUZER
Nurdide,MEHTEROGLU
Nurdil,MERAK
Nurdogdu,MIRYAN
Nurfide,NABI
Nuvide,NABIKOGLU
Od,NADULLU
Oder,NAICI
Okdemir,NARBAY
Okverdi,NESANIR
Orkide,NIFAK
odul,OKOL
onder,OLASMIS
onderol,ORCU
ondes,ORTACAY
orundu,ORTAKAN
ozdeger,ORYASIN
ozdek,OSOY
ozdel,OZAKBULUT
ozdemir,OZAYDOGDU
ozden,OZBAHADIR
ozdener,OZBAYDAR
ozderen,OZBEDEL
ozdes,OZBIDAK
ozdil,OZCIRPICI
ozdilek,OZDASCI
ozdogdu,OZGUNLUK
ozdogmus,OZKAC
ozdogru,OZKESICILER
ozdoru,OZKIDIR
ozdoruk,OZKIRAL
ozdurdu,OZKUYUCU
ozduru,OZSISLI
ozdurul,OZTUTAN
ozdurum,OZUCAK
ozender,OZUCELIK
ozerdem,OZUDUZ
ozerdim,OZUGENC
ozonder,OZVURMAZ
ozudogru,OZYAKUP
ozverdi,OZYESILDAG
Pekdeger,PACCI
Peride,PACRAZ
Remide,PARLAKKAN
Reside,PASIK
Reside,PETMEZCI
Resididdin,PETRICLI
Ruveyde,POSBIYIK
Ruvide,PUTUR
Sedef,RAYDEMIR
Seden,RODOSLU
Sedit,SAGGUN
Semender,SAHINCE
Serdil,SAKUL
Sevde,SALGUN
Sevdiye,SALLA
Sevgideger,SAMIRA
Sevindik,SANLIGU
Seydi,SARIBEKIROGLU
Seyyide,SARIGAN
Sıddık,SARIOGULLARI
Sıdkı,SAYGIKAN
Sıdkıye,SAYMALI
Sidre,SEBIL
Simden,SELEKOGLU
Sude,SEME
Sudi,SERINOL
Sudiye,SERTBOLAT
Suudi,SESLIOGLU
Suzidil,SINANKILI
Suerdem,SOLAKCI
Suerden,SORAK
Sundus,SOYATA
Suveyde,SOYUCAK
semdin,SOYUMER
sendeniz,SUGUTLU
sendil,SULEYMANAGAOGLU
sendur,SULLUOGLU
sengeldi,SUSLEN
sermende,SUSOGLU
sevkidil,SUVARIOGLU
side,TALIMCI
Tedu,TAMAS
Tendu,TAPIRDAMAZ
Tendurek,TASLIALAN
Tepedelen,TASSOKEN
Tevhiddin,TATHAN
Tevhide,TEKKALMAZ
Tokdemir,TENES
Topdemir,TEPEALTI
Toydemir,TEPEDIBI
Toydeniz,TERLIKCI
Tumerdem,TIREL
Turkdogdu,TOGU
Ufukdeniz,TOPTOP
Uldız,TOSKAR
Umdu,TOYMUS
Urundu,TUGCUOGLU
ulkudes,TURKYUREK
ungordu,UBEYLI
unudeger,UCUS
unverdi,UGUZALP
urundu,ULKA
Vedi,ULUAG
Vedide,ULUTAY
Vedit,UMDI
Velide,URASOGLU
Veliyuddin,USKANER
Verdî,UYGUNTURK
Yarıdil,UYHAN
Yedier,UYSALAR
Yediger,UZBEK
Yediveren,UZUNOKUR
Yıldıku,VATANPERVER
Yıldır,YAHNICI
Yıldırer,YAKAC
Yıldırım,YALAS
Yıldız,YANKOL
Yurdum,YAPACAK
Yurdusev,YASAYANLAR
Yurdusen,YASBAYIR
Zeyneddin,YAYLIM
Zuhdi,YAZDIRAN
alem,YAZNUR
asiye,YEGUN
atike,YEMISKEN
atiye,YERLESMIS
azime,YETKEN
Efe,YILHAN
Efgen,YILMAYAN
Efkar,YITGIN
Eflatun,YONEZER
Efruz,YORAZ
Efser,YOYLER
Efsun,YUCEBILGIC
Ege,YUNCE
Egemen,YURDAKAVUSAN
Egenur,YUREKLIER
Egesel,YURTAN
Egilmez,YUS
Egrek,YUTMEZ
Ehil,ZILEK
Ehlimen,ZOBA
Eke,ZOLAN
Ekemen,ZORALIOGLU
Eken,ABABEY
Ekenel,ABANOZOGLU
Ekener,ABBAN
Ekim,ABURCU
Ekin,ACICIER
Ekiner,ADEMIR
Ekmel,AFKAN
Ekrem,AGBALIK
Ela,AGKANAT
Elanur,AGRIMAN
Elgin,AHMETBESEOGLU
Elif,AHMETBEYOGLU
Elife,AKADAS
Elik,AKANDERE
Elitez,AKBEZ
Eliuz,AKCAKOYUNLU
Eliustun,AKDU
Elove,AKENIS
Elover,ALADI
Elver,ALBAHAR
Elveren,ALGOZ
Emek,ALKAPTAN
Emel,ALKISCI
Emet,ALMAOGLU
Emin,ALTINDAR
Emine,ALTIOKLAR
Eminel,ALTUNSABAN
Emir,ANTEPUZUMU
Emos,ANUTGAN
Emre,ARALA
Emri,ARAYCI
Emriye,ARICANLI
Ener,ARICICEGI
Eneren,ARIKBASLI
Energin,ARSLANBABA
Enes,ASLIER
Enfes,ATANAK
Engin,ATCAKAN
Enginel,ATIMDAR
Enginer,ATUM
Enginiz,AYCEN
Enginsoy,AYDA
Enginsu,AYDEPE
Engiz,AYDOGMUSOGLU
Engur,AYLAC
Enis,AZGER
Enise,BABUROGLU
Enmutlu,BALANUR
Enver,BANAZLI
Er,BASBAYRAK
Erek,BASTUTAN
Ereken,BAYIRHAN
Erel,BAYKAY
Erem,BELENDIR
Eren,BELLICI
Erenel,BERGIL
Erengul,BERIGEL
Erengun,BESIKOGLU
Erenler,BEYAZPOLAT
Erenoz,BEYBOGA
Erensoy,BEYTEMIR
Erensu,BIGIN
Erenturk,BILIBIL
Erenulug,BILICEN
Erer,BIRCOK
Erge,BIRIKEN
Ergem,BIZEL
Ergen,BOLATTAN
Ergenekon,BOLCE
Ergener,BOYNUZOGLU
Ergi,BOZANLI
Ergil,BUSTAN
Ergin,BUYUKARAS
Erginel,BUYUKCOSKUN
Erginer,BUYUKKOR
Erginsoy,CALPA
Ergintug,CALTU
Ergok,CANTAOGLU
Ergokmen,CATALELMA
Ergonen,CATBAS
Ergonul,CERKO
Ergor,CIGDEN
Ergun,CIHANLAR
Erguner,CILDIRMAZ
Ergul,CIMOGLU
Ergulen,CINKAY
Erguler,CIRTI
Ergumen,CODUROGLU
Ergun,COPCUOGLU
Erguner,COSGUNYUREK
Ergunes,CURMAN
Erguney,CURU
Erguven,DALBAL
Erhun,DALSUNA
Erısık,DASKAFA
Erik,DAZKIRLI
Eriker,DELIBAYIR
Erim,DERDIMAN
Erimel,DERLER
Erimer,DIDIS
Erin,DILSEKER
Erip,DIRDIROGLU
Eripek,DIVRIN
Eris,DOGANISIK
Erisen,DOLES
Eriskin,DOLGAN
Eriz,DONMEZDEMIR
Erk,DULUKLU
Erke,DUNDAROGLU
Erkel,DURSUNER
Erker,DURUP
Erkın,EHLIL
Erkınel,ELBIL
Erkıs,EMILLI
Erkin,EMIRHANOGLU
Erkinel,EMREK
Erkiner,ERDEMIS
Erkmen,ERDIKER
Erkmenol,ERENCAN
Erkol,ERGUZELOGLU
Erksoy,ERIKEL
Erksun,ERKIVANC
Erktin,ERTANIR
Erkul,ERTAYLAN
Erkunt,ERYUREKLI
Erkurt,ESENCELI
Erkus,FADILOGLU
Erkut,GAYIRAN
Erkutlu,GEBECE
Erlik,GELAL
Ermis,GELISIN
Ermiye,GEVENLI
Ermutlu,GOKTASLI
Ernur,GOLCICEK
Eroglu,GOLDELI
Erogul,GONULCU
Eroguz,GORENC
Erol,GOZDERESI
Eroge,GOZKONAN
Eroz,GOZUSIRIN
Ersel,GUCUKAYLAK
Ersen,GULBENLI
Erserim,GULMEZYUZ
Ersev,GUNBULUT
Erseven,GUNDUZTEPE
Ersever,GUNGORSUN
Ersevin,HARMANKASI
Ersezen,HAVUZOGLU
Ersezer,HAZIM
Ersin,HUMARTAS
Erson,HUREL
Ersoy,HURSITOGLU
Ersoz,IDIGU
Ersu,IGEC
Ersun,IMEL
Ersu,IMREOGLU
Ersen,INCEBEL
Erset,INGINAR
Erte,INPINAR
Ertek,IRPIK
Erteke,IYIKORUKCU
Ertekin,IYISOYLU
Ertem,KABACALIOGLU
Erten,KABAKUS
Ertim,KADAGAL
Ertin,KALKO
Ertingu,KALTAN
Ertok,KANBIL
Ertop,KANDAG
Ertore,KANTEK
Ertug,KANUS
Ertugrul,KARABALKAN
Ertut,KARABICEK
Ertun,KARABULBUL
Erture,KARAHOYUK
Erturk,KARAKIPRIK
Ertuze,KARAKURUMER
Ertuzun,KARSIKAYA
Erulgen,KASAMAK
Erun,KASARCIOGLU
Erustun,KASCIOGLU
Ervin,KASKAVAL
Eryetis,KASTA
Eryigit,KAVIS
Erzi,KAZPINAR
Ese,KECECIGIL
Esen,KELLEBOZ
Esenel,KEMERBAS
Esener,KERECIN
Esengul,KERES
Esengun,KILAV
Esenkul,KINALIKAYA
Esentimur,KIRACOGLU
Esenturk,KIRISAN
Eser,KIRKAGACLI
Esergul,KISABOYUN
Esim,KOCASARAC
Esin,KODALAKOGLU
Esiner,KOKGIL
Eskin,KOLDAY
Eslek,KOLSAN
Esmer,KONCE
Esvet,KOYUNCUGIL
Ese,KOYUNSEVEN
Esim,KUCUKGORUR
Esin,KUCUKGUNDUZ
Esit,KUCUKKARTAL
Eskin,KUCUKPARLAK
Esmen,KULEGE
Esref,KULI
Ethem,KUNDEM
Eti,KURANOGLU
Etik,KURBANI
Etike,KURUTUZ
Evgin,KUSNE
Evin,KUTKU
Evirgen,KUZUGUDENLI
Evnur,MAHTI
Evren,MAMAGA
Evrensel,MARUK
Evrim,MERPEZ
Evrimer,MIDIS
Evsen,MINDILOGLU
Evsen,MIRCIK
Eylem,MUCURLU
Eylul,MUMOGLU
Eymen,MURA
Eyup,MURGUL
Ezel,NALCAK
Ezelî,NURTEKIN
Ezgi,NURTOP
Ezgin,OGRUCE
Ezgu,OKTAYHAN
Ezguer,OKTAYKAAN
Ezgutekin,OKUMUSLAR
Fakihe,ONGUNC
Fehim,ONNER
Fehime,ORENBASI
Fehmi,ORKIN
Fehmiye,OVMEK
Felat,OYGEN
Felek,OZAKALIN
Fenni,OZAKKAS
Fenniye,OZARTIK
Fer,OZDOGANCI
Fergun,OZEYRANOGLU
Ferhun,OZKEZ
Feri,OZKIREN
Ferih,OZKOR
Feriser,OZOGULLARI
Feriste,OZSULLU
Ferit,PAKCAN
Feriz,PEHRIZ
Fernur,POLENT
Ferruh,RAYLAZ
Fersoy,RIZA
Feruze,SAGIL
Ferve,SAHINDERE
Fesih,SAKIOGLU
Fethi,SALAH
Fethiye,SALKINA
Fetih,SANLIG
Fevzi,SANOL
Fevziye,SAPMA
Feyiz,SARIBULBUL
Feyzettin,SAVATA
Feyzi,SAYGICAK
Feyziye,SAYGIOGLU
Figen,SAYIMCI
Fikret,SECGU
Fikrettin,SEMINT
Fikriye,SENKOL
Filizer,SENOGULLARI
Firuze,SENYEGIT
Fugen,SERIMER
Futuvvet,SERSAN
Gelener,SEYFE
Gelengul,SINGEC
Gelin,SOLIN
Gelinkız,SOMKAYA
Genez,SONLU
Gevher,SORMAGEC
Gevheri,SOYLEM
Gezer,SOZALAN
Gezgin,SOZUBIR
Gezginer,SUKGEN
Girginer,SUMUR
Gizem,TAHIL
Gizer,TAHTAKESEN
Gizmen,TAKIN
Gogem,TAKMA
Gogen,TANKAN
Gokel,TANKULU
Goken,TASBEY
Goker,TASDEMIRLI
Gokmen,TASKESENLIOGLU
Gokmener,TASMALI
Gokmete,TATARLAR
Goknel,TATLICAK
Gokperi,TATLITURK
Goksel,TEBELLES
Gokselen,TEKIL
Goksen,TICI
Goksenin,TIKIM
Gokser,TILKAT
Goksev,TIRAN
Gokseven,TIRSO
Goksever,TOPTAMUR
Goksen,TUBLUK
Gokten,TUCAY
Goktore,TUTAYSALGIR
Golge,URGUPLUOGLU
Gonen,URUCOGLU
Gonener,UTNU
Gorez,UYUNUK
Gorkel,YAGMAKAN
Gorkem,YALVAR
Gorkemli,YANBASTIOGLU
Gorker,YANBOLU
Gorkey,YANTIRA
Gorkmen,YARAREL
Gorksev,YARIMTEPE
Gorsev,YAZARLI
Govem,YAZGIC
Govez,YEDEKCIOGLU
Goymen,YENIDAG
Goze,YENILIK
Gozegir,YESILKOK
Gozem,YESILYER
Gozlem,YILDIRIMTAS
Gufte,YILDIZALP
Guher,YUNUSOGULLARI
Gulafet,YURDUGUR
Gulaver,YURTKAN
Gulegen,ZINKAL
Gulek,ABAL
Gulel,ABARAMAK
Gulen,ACE
Gulener,ACIKARA
Gulengul,ACIKKAYA
Gulennur,ACKU
Guler,ADIZ
Guleren,AGDEDE
Gulergin,AGGEDIK
Gulergun,AKCAYUZLU
Gulersin,AKGOREN
Guleryuz,AKKUREK
Gulesen,AKMERIC
Guleser,ALBASAR
Gulesin,ALBASLAN
Gulev,ALGAM
Gulfem,ALIRAVCI
Gulfer,ALPDEMIR
Gulgen,ALTINAYAR
Gulgez,ALTINKALP
Gulgune,AMEDI
Gulguney,ANKARALIGIL
Gulguzel,ARSLANOL
Gulipek,ASABI
Gulmen,ATMACASOY
Gulnese,AYIBOGAN
Guloren,AYKALKAN
Gulozer,AYNECI
Gulperi,AYYARKIN
Gulrenk,BASYAYLA
Gulsel,BAV
Gulseli,BAYFIDAN
Gulselin,BELDAGLI
Gulsemin,BELELI
Gulsen,BEYAZSEKEROGLU
Gulser,BEYRU
Gulseren,BICGI
Gulserim,BILIBAY
Gulsev,BILLURCU
Gulseven,BIRANGER
Gulsever,BODAN
Gulsevi,BOYACIER
Gulsevil,BOZBEL
Gulsevin,BUGALI
Gulsezer,BUKECIK
Gulsezin,BURKU
Gulsinem,BUYUKAKSOY
Gulsume,BUYUKKENDIRCI
Gulsehri,BUYUKSAMANCI
Gulseker,CAKAREL
Gulsen,CAMLIYOL
Gulseref,CANDORUK
Gulserif,CARKCIOGLU
Gultekin,CASUR
Gulten,CAVLIK
Gulter,CAZAG
Gulumser,CELEMOGLU
Gulumsen,CELIKKILIC
Gulver,CETINKARA
Gulveren,CEVAHIREFENDIOGLU
Gulzemin,CEZAYIRLIOGLU
Gumustekin,CICEKFIDAN
Gunel,CICEKSEVEN
Guner,CIFTGUMUS
Guneren,CIGILOGLU
Gunergin,CIKA
Guneri,CILDAS
Gunerim,COLAKKADI
Gunes,CURUKSULU
Gunesen,DAGDEVREN
Guney,DAHAK
Gunfer,DANZIK
Gungoren,DAYIKARACA
Gungoze,DEGIRMENTEPE
Gunsel,DEMETCI
Gunseli,DEMIRADAM
Gunsenin,DIBLEN
Gunser,DIGRENCI
Gunseren,DIPOVA
Gunsen,DIVIT
Guntekin,DOGRULATAN
Gunten,DOYANC
Guntore,DUNAR
Gunver,DUNUK
Gunyeli,DURUAY
Gurel,DUZGUNEY
Gurer,ELEKLER
Gursel,ELMASCI
Gurselin,EMIRGAN
Gursen,ENVEROGLU
Gurses,ERCOMERT
Gursev,ERDAGOZ
Gursevil,ERDUHAN
Gursen,ERKIC
Gurten,ERNAK
Guven,EROLTU
Guze,ERYAGCI
Guzel,ERYASA
Guzey,ESGICIOGLU
Hakime,ESIL
Halet,ESKIKALE
Hekim,EVECAN
Heper,EVKAN
Hepgul,EYUPREISOGLU
Hepsen,FAKHAN
Hepyener,FAYIZ
Hepyuksel,FERIDOGULLARI
Heves,FINDIKLAR
Hıfziye,GAKCI
Hızlıer,GASYAK
Hikmet,GEDE
Hikmettin,GENCTIR
Hilmiye,GEVREKOGLU
Himmet,GIZLIGOL
Hossel,GODUK
Hossen,GOKDAM
Hosses,GOKGOZOGLU
Hosten,GONENBABA
Hulkiye,GONENMIS
Hurisel,GONULTASI
Huriser,GOZCAN
Huriye,GOZSU
Hurrem,GOZUYANIK
Hukmiye,GUDENDEDE
Huner,GULICE
Hurmet,GULSECEN
Hurrem,GUNBELDEK
Hurriyet,GUNDUZVAR
Hursel,GURCANLI
Hursen,GURCUM
Hursev,GUZELIM
Hursen,HAPCIOGLU
Huseyin,HOSSES
Husmen,HUNU
Husne,HUTO
Husniye,IDEKCI
Husnuguzel,IFSAT
Husnuye,ILCIKTAY
Husrev,IRTIK
Isıker,ISABAS
Isıner,ISARET
Iffet,ISGUDEN
Ilergin,ISIGUZEL
Ileri,ISIKGIL
Ilerigun,ISLAR
Ilke,ISMETOGLU
Ilker,ISTEMEZ
Ilksel,ISTIP
Ilksen,KABAYUKA
Ilksev,KANSAK
Ilksen,KAPUCUBAS
Ilmen,KARADUZ
Ilmiye,KARANFILDAGI
Ilsev,KARLIOVA
Ilseven,KASIKOGLU
Ilsever,KASUN
Ilsen,KAYABEKIR
Iltekin,KAYACETIN
Iltemir,KAYIKKIRAN
Iltemiz,KEMBIL
Iltemur,KEPKEP
Ilter,KESTEVUR
Ilteris,KIBRITCIOGLU
Iltuze,KIDAM
Ime,KIDEYS
Imer,KILKIL
Imge,KILNAMAZ
Imre,KIRMIZIZAMBAK
Imren,KIRSEVER
Ipek,KISAL
Ipekel,KIZMAZER
Ipekten,KOCAKAVAK
Irem,KOCAKAVUK
Iren,KOCATOPCU
Irtek,KOCINTAR
Isen,KOLACOGLU
Isenkutlug,KONDI
Ismet,KOPUZOGLU
Ismen,KORDEMIR
Isseven,KOTUCE
Issever,KOYNUK
Isvekar,KOYUCU
Ivegen,KUCUKKAYHAN
Iyem,KUCUKMARAS
Iyimser,KUCUKTOP
Iyiyurek,KULANOGLU
Izel,KURTKAFA
Izem,KUZGUNKAYA
Izzet,KUZI
Izzettin,LULEBAS
Kamile,MANGIRLAR
Kasife,MENAL
Kazime,MENEVSEOGLU
Kekik,MERA
Keklik,MERCANTAS
Kelami,MERICOGLU
Keles,MEYVALI
Kelestimur,MILASLIOGLU
Kemter,MILCAN
Kent,MITLIN
Kenter,MIZIKACI
Kepez,MUMLU
Kerem,MUTAS
Kerim,MUTLUYER
Kerime,MUZMUL
Kermen,NALDELEN
Kesek,NAMER
Kesim,NASIRBEL
Keskin,NEMEZ
Keskinel,NESRIN
Keskiner,NEYDIM
Kesfi,NISGAVLIOGLU
Kesfiye,OBELIK
Kete,OGULBALI
Keven,OKTOPCU
Kevkep,ONBES
Kevnî,ONDAR
Kevser,ONERARI
Key,ORENBAG
Keyfi,OTKAN
Kezer,OZBAYBURTLU
Kınel,OZCIFT
Kıner,OZEKSI
Kırteke,OZERDEMIR
Kırtekin,OZEREL
Kısmet,OZKABLAN
Kıymet,OZLEYIK
Kiper,OZSABAN
Kirmen,OZYASIN
Korel,PASUN
Korer,PAZAROZYURT
Koryurek,PEMIK
Kosuktekin,PEPEOGLU
Kokel,PULGU
Koken,RUSCUK
Koker,SAGDAN
Koklem,SAGDUYU
Kokten,SALACAK
Komen,SAMANOGLU
Kornes,SAPDUZEN
Korpe,SAPLAK
Kose,SARIDUGAN
Kosem,SARIKIR
Kosemen,SATU
Kosten,SEBILCI
Kosek,SECERLI
Kosker,SEKERYAPAN
Koymen,SENAT
Kozer,SENCE
Kumriye,SERBETLI
Kutsel,SERINDIK
Kutseli,SERTOK
Kuzey,SEYIR
Lale,SIGERGOK
Lalegul,SIPAK
Laleruh,SOYGENC
Lamiye,SOYUDURU
Latife,SUVAROGLU
Lemi,SUZMEN
Lemiye,TAHTABICEN
Lerze,TAMINCE
Lerzis,TASLIYAN
Levent,TASTOKA
Levin,TAVLU
Leyla,TAYDEN
Leylagul,TEKDINCER
Leyli,TEMIRLENK
Leylifer,TEREKEME
Leylufer,TIKENCE
Leziz,TILI
Lezize,TIRNAVA
Lutfiye,TONGUSLU
Mefkure,TOPMULU
Meftun,TOPUL
Meftune,TORZAK
Mehip,TOSKAL
Mehir,TUGUNMUS
Mehmet,TULAZ
Mehru,TUMKAR
Mehti,TURGEN
Mehtiye,TUTAMAN
Mehves,TUYRAN
Mekin,TUZGU
Mekki,UCBAGLAR
Melek,UCUZOVA
Meleknur,ULUBA
Melekper,UNATOGLU
Melekru,USKUCA
Melen,UYGEC
Melih,UYUMUS
Melik,UYUSKAN
Melike,UZUNGUL
Melis,VERIRALMAZ
Meliz,YAGMACI
Meltem,YALLAGOZ
Melul,YANBOLLU
Memik,YANLI
Memis,YARTIM
Memnun,YASUGEY
Memnune,YAVLAK
Memo,YAZITAS
Memun,YEGNIDEMIR
Menekse,YENERSOY
Menevse,YENTAR
Mengi,YERYARAN
Mengli,YESILYUZ
Mengus,YIGIDER
Mengu,YOGURTOGLU
Menguer,YURDASAN
Mengutekin,YURTTUTAR
Mensup,ZAPTIYE
Mensur,ZEMBILOREN
Mensure,ZEMZEMOGLU
Mensur,ZEYHAN
Mensure,ZIPLAR
Menzur,ZULFI
Menzure,ABALAY
Mergen,ABUSSUUTOGLU
Mergup,ACIMIK
Merih,ACINAN
Mersin,ACUNMAN
Mert,ADALETSEVER
Mertel,AGCAKALA
Merter,AGMAN
Mertkol,AGRAP
Mertol,AHRETLIK
Mertturk,AKBILMEZ
Merve,AKISOGLU
Meryem,AKMAZLAR
Merziye,AKOGLANOGLU
Merzuk,AKPINAROGLU
Meserret,ALAAGAC
Mesih,ALACAT
Mesrur,ALCITEPE
Mesrure,ALDERE
Mestur,ALICE
Mesture,ALPGUN
Mesure,ALPULLU
Mesut,ALTINPULLUK
Meshur,ALUK
Meskur,ALURAL
Meskure,ARALAN
Mesru,ARIDASIR
Mete,ARMAKAN
Methiye,ARTURAL
Metin,ARZUM
Metine,ASANOGLU
Metiner,ASANTAYRUL
Mevlit,ASATIR
Mevlut,ASLANGOZ
Mevlut,ASLANGUL
Mevsim,ASLANKILINC
Mevzun,AYASAN
Mevzune,AYOK
Meyil,AYRENK
Meymun,BAGYAPAN
Meymune,BAHRAN
Mezit,BAKUS
Meziyet,BALCICEK
Mezun,BALKIRAZ
Mihine,BASMANAV
Mihriye,BAYHATUN
Mine,BENDAS
Minnet,BERKYEZ
Mirkelam,BESKURT
Muhlise,BILAK
Muhsine,BIN
Muhterem,BODAKCI
Muhtesem,BORAZANOGLU
Muine,BORKUN
Mukime,BULKI
Munise,BUYUKAFSAR
Muslihe,BUYUKDUMLU
Mutluer,CABUCAK
Mutlutekin,CAGIM
Mutver,CAGLAKPINAR
Muesser,CAGLAYIK
Mueyyet,CAHANKER
Muferrih,CALA
Muge,CALIKOPARAN
Mukerrem,CAMLILAR
Mukevven,CANAKOGLU
Mukremin,CANCILAR
Mukrime,CANKES
Mulhime,CAYALAN
Mulket,CEBISCI
Mumine,CEGE
Munevver,CEGIN
Munife,CERIZ
Munime,CERMAOGLU
Munire,CICEKLIOGLU
Muren,CINARDAL
Mursel,CIVCIOGLU
Muruvvet,COMULU
Musevver,COPEL
Muslime,COREZ
Muslume,DALLICA
Mustenir,DAMGACIOGLU
Mustenire,DASCAL
Muserref,DASCILAR
Muskule,DAVASLIOGLU
Mustehir,DEFNE
Muyesser,DELIKBAS
Muzehher,DEMIROG
Muzekker,DIJLE
Muzeyyen,DIKERLER
Nefer,DILENC
Nefi,DIZLE
Nefis,DOSTOGLU
Nefise,DUNDARALP
Nehip,DURBABA
Nehir,DURSAN
Nehire,ELVERAN
Nehri,EMISTEKIN
Nejla,EMLIKLI
Nemutlu,ERAYATA
Neptun,ERBECER
Nergis,ERBULAN
